2026-05-06 22:55:11.009 [info] [LS Main] Starting language server from: /usr/share/antigravity/resources/app/extensions/antigravity/bin/language_server_linux_x64
2026-05-06 22:55:11.060 [info] [LS Main] Args: --csrf_token 97ddb41a-b11d-41ad-9b37-80b07de68763 --extension_server_port 44985 --extension_server_csrf_token ec312ac4-9c24-40b7-a3ec-b0a665e77138 --app_data_dir antigravity --cloud_code_endpoint https://cloudcode-pa.googleapis.com
2026-05-06 22:55:11.071 [info] [LS Main] Process spawned with PID: 5905
2026-05-06 22:55:11.239 [error] [LS Main stderr] I0506 22:55:11.202738  5905 server.go:1236] Starting language server process with pid 5905
I0506 22:55:11.202828  5905 server.go:301] Setting GOMAXPROCS to 4
I0506 22:55:11.204485  5905 server.go:440] Language server will attempt to listen on host 127.0.0.1
I0506 22:55:11.204740  5905 server.go:454] Language server listening on random port at 46473 for HTTPS (gRPC)
I0506 22:55:11.204776  5905 server.go:461] Language server listening on random port at 35337 for HTTP

2026-05-06 22:55:11.427 [error] [LS Main stderr] I0506 22:55:11.427086  5905 server.go:433] Created extension server client at port 44985

2026-05-06 22:55:11.451 [error] [LS Main stderr] I0506 22:55:11.450969  5905 cascade_manager.go:773] Reactive state is disabled

2026-05-06 22:55:11.458 [error] [LS Main stderr] E0506 22:55:11.458287  5905 log.go:398] Failed to poll ListExperiments: error getting token source: state syncing error: key not found

2026-05-06 22:55:11.458 [error] [LS Main stderr] E0506 22:55:11.458482  5905 server.go:544] Failed to get OAuth token: error getting token source from auth provider: state syncing error: key not found
W0506 22:55:11.458529  5905 client.go:167] failed to set auth token

2026-05-06 22:55:11.462 [info] [LS Main] LS started on port 46473
2026-05-06 22:55:11.466 [error] [LS Main stderr] W0506 22:55:11.461672  5905 log_context.go:118] Cache(userInfo): Singleflight refresh failed: error getting token source: state syncing error: key not found
I0506 22:55:11.466030  5905 server.go:1693] initialized server successfully in 263.166411ms

2026-05-06 22:55:11.471 [error] [LS Main stderr] W0506 22:55:11.470883  5905 log_context.go:118] Cache(loadCodeAssistResponse): Singleflight refresh failed: error getting token source: state syncing error: key not found
W0506 22:55:11.470928  5905 log_context.go:118] Cache(availableModels): Singleflight refresh failed: failed to get load code assist response: error getting token source: state syncing error: key not found

2026-05-06 22:55:11.471 [error] [LS Main stderr] E0506 22:55:11.470982  5905 log.go:398] Failed to poll FetchAvailableModels: failed to get load code assist response: error getting token source: state syncing error: key not found

2026-05-06 22:56:11.452 [error] [LS Main stderr] E0506 22:56:11.451627  5905 log.go:398] Failed to poll ListExperiments: error getting token source: state syncing error: key not found

2026-05-06 22:56:11.452 [error] [LS Main stderr] W0506 22:56:11.452391  5905 log_context.go:118] Cache(loadCodeAssistResponse): Singleflight refresh failed: error getting token source: state syncing error: key not found
W0506 22:56:11.452480  5905 log_context.go:118] Cache(availableModels): Singleflight refresh failed: failed to get load code assist response: error getting token source: state syncing error: key not found
E0506 22:56:11.452542  5905 log.go:398] Failed to poll FetchAvailableModels: failed to get load code assist response: error getting token source: state syncing error: key not found

2026-05-06 22:57:11.452 [error] [LS Main stderr] E0506 22:57:11.451305  5905 log.go:398] Failed to poll ListExperiments: error getting token source: state syncing error: key not found

2026-05-06 22:57:11.453 [error] [LS Main stderr] W0506 22:57:11.452587  5905 log_context.go:118] Cache(loadCodeAssistResponse): Singleflight refresh failed: error getting token source: state syncing error: key not found
W0506 22:57:11.452664  5905 log_context.go:118] Cache(availableModels): Singleflight refresh failed: failed to get load code assist response: error getting token source: state syncing error: key not found
E0506 22:57:11.452756  5905 log.go:398] Failed to poll FetchAvailableModels: failed to get load code assist response: error getting token source: state syncing error: key not found

2026-05-06 22:58:11.452 [error] [LS Main stderr] E0506 22:58:11.451585  5905 log.go:398] Failed to poll ListExperiments: error getting token source: state syncing error: key not found

2026-05-06 22:58:11.453 [error] [LS Main stderr] W0506 22:58:11.452756  5905 log_context.go:118] Cache(loadCodeAssistResponse): Singleflight refresh failed: error getting token source: state syncing error: key not found
W0506 22:58:11.452834  5905 log_context.go:118] Cache(availableModels): Singleflight refresh failed: failed to get load code assist response: error getting token source: state syncing error: key not found
E0506 22:58:11.452929  5905 log.go:398] Failed to poll FetchAvailableModels: failed to get load code assist response: error getting token source: state syncing error: key not found

2026-05-06 22:59:11.452 [error] [LS Main stderr] E0506 22:59:11.451773  5905 log.go:398] Failed to poll ListExperiments: error getting token source: state syncing error: key not found

2026-05-06 22:59:11.453 [error] [LS Main stderr] W0506 22:59:11.452786  5905 log_context.go:118] Cache(loadCodeAssistResponse): Singleflight refresh failed: error getting token source: state syncing error: key not found
W0506 22:59:11.452850  5905 log_context.go:118] Cache(availableModels): Singleflight refresh failed: failed to get load code assist response: error getting token source: state syncing error: key not found
E0506 22:59:11.452931  5905 log.go:398] Failed to poll FetchAvailableModels: failed to get load code assist response: error getting token source: state syncing error: key not found

2026-05-06 23:00:11.459 [error] [LS Main stderr] E0506 23:00:11.451643  5905 log.go:398] Failed to poll ListExperiments: error getting token source: state syncing error: key not found
W0506 23:00:11.452530  5905 log_context.go:118] Cache(loadCodeAssistResponse): Singleflight refresh failed: error getting token source: state syncing error: key not found
W0506 23:00:11.452556  5905 log_context.go:118] Cache(availableModels): Singleflight refresh failed: failed to get load code assist response: error getting token source: state syncing error: key not found
E0506 23:00:11.452603  5905 log.go:398] Failed to poll FetchAvailableModels: failed to get load code assist response: error getting token source: state syncing error: key not found

2026-05-07 20:24:19.748 [error] [LS Main stderr] E0507 20:24:19.693019  5905 log.go:398] Failed to poll ListExperiments: error getting token source: state syncing error: key not found
W0507 20:24:19.695735  5905 log_context.go:118] Cache(loadCodeAssistResponse): Singleflight refresh failed: error getting token source: state syncing error: key not found
